Scheduler,Test,Throughput,Avg Wait,Avg TAT,Avg Response
RR,test10,0.01,50.0,195.0,5.0
EP,test10,0.01,50.0,195.0,5.0
EP_RR,test10,0.008888888888888889,40.0,185.0,5.0
RR,test11,0.005,10.0,390.0,10.0
EP,test11,0.005,10.0,390.0,10.0
EP_RR,test11,0.005,10.0,390.0,10.0
RR,test12,0.03333333333333333,30.0,88.0,2.0
EP,test12,0.025423728813559324,20.666666666666668,78.66666666666667,20.666666666666668
EP_RR,test12,0.025423728813559324,20.666666666666668,78.66666666666667,20.666666666666668
RR,test13,0.002,7.5,580.0,5.0
EP,test13,0.002,7.5,580.0,5.0
EP_RR,test13,0.002,7.5,580.0,5.0
RR,test14,0.0035714285714285713,200.0,495.0,50.0
EP,test14,0.003389830508474576,200.0,495.0,200.0
EP_RR,test14,0.003389830508474576,200.0,495.0,200.0
RR,test15,0.005194805194805195,145.0,342.5,45.0
EP,test15,0.005063291139240506,145.0,342.5,145.0
EP_RR,test15,0.005714285714285714,25.0,222.5,0.0
RR,test16,0.00967741935483871,142.0,261.3333333333333,45.0
EP,test16,0.009615384615384616,135.0,254.33333333333334,68.33333333333333
EP_RR,test16,0.009433962264150943,115.0,234.33333333333334,88.33333333333333
RR,test17,0.008,65.0,190.0,40.0
EP,test17,0.008,90.0,215.0,90.0
EP_RR,test17,0.008,25.0,150.0,0.0
RR,test18,0.02,150.0,275.0,225.0
EP,test18,0.02,150.0,275.0,225.0
EP_RR,test18,0.02,150.0,275.0,225.0
RR,test19,0.01,0.0,150.0,50.0
EP,test19,0.01,0.0,150.0,50.0
EP_RR,test19,0.01,0.0,150.0,50.0
RR,test1,0.1,0.0,10.0,0.0
EP,test1,0.1,0.0,10.0,0.0
EP_RR,test1,0.1,0.0,10.0,0.0
RR,test20,0.01,214.28571428571428,399.2857142857143,299.2857142857143
EP,test20,0.01,214.28571428571428,399.2857142857143,299.2857142857143
EP_RR,test20,0.01,214.28571428571428,399.2857142857143,299.2857142857143
RR,test21,0.0027272727272727275,333.3333333333333,998.3333333333334,365.0
EP,test21,0.0027272727272727275,333.3333333333333,865.0,498.3333333333333
EP_RR,test21,0.0027272727272727275,333.3333333333333,865.0,498.3333333333333
RR,test2,0.09090909090909091,0.0,11.0,0.0
EP,test2,0.09090909090909091,0.0,11.0,0.0
EP_RR,test2,0.09090909090909091,0.0,11.0,0.0
RR,test3,0.13333333333333333,3.5,11.0,3.5
EP,test3,0.13333333333333333,3.5,11.0,3.5
EP_RR,test3,0.13333333333333333,2.5,10.0,0.0
RR,test4,0.14285714285714285,1.5,9.5,0.0
EP,test4,0.14285714285714285,1.5,9.5,0.0
EP_RR,test4,0.14285714285714285,1.5,9.5,0.0
RR,test5,0.004615384615384616,273.3333333333333,490.0,90.0
EP,test5,0.004615384615384616,173.33333333333334,390.0,173.33333333333334
EP_RR,test5,0.004615384615384616,173.33333333333334,390.0,173.33333333333334
RR,test6,0.01,150.0,250.0,150.0
EP,test6,0.01,150.0,250.0,150.0
EP_RR,test6,0.01,150.0,250.0,150.0
RR,test7,0.005555555555555556,81.66666666666667,261.6666666666667,68.33333333333333
EP,test7,0.005555555555555556,335.0,515.0,335.0
EP_RR,test7,0.005555555555555556,335.0,515.0,335.0
RR,test8,0.005,100.0,333.3333333333333,66.66666666666667
EP,test8,0.005,100.0,300.0,100.0
EP_RR,test8,0.005,100.0,300.0,100.0
RR,test9,0.013333333333333334,40.0,115.0,40.0
EP,test9,0.013333333333333334,40.0,115.0,40.0
EP_RR,test9,0.013333333333333334,25.0,100.0,0.0
